Changing parameter: mean delay (exponential distribution);;;;;;
Mean delay   ;Max. delay  ;Avg.   ;Avg. ;Avg. time   ;Avg.;Avg. count;Avg. Percentage of ;Avg. count
or min. delay;or deviation;reliab.;delay;for one task;load %;of tasks  ;finished tasks     ;of returnings
31.22;0.00;0.87;4.51;120.49;45.69;14.60;64.85;0.80;
52.40;0.00;0.89;15.66;78.74;33.97;13.70;50.74;0.10;
93.55;0.00;0.88;20.08;84.93;25.24;12.00;52.39;0.40;
112.19;0.00;0.87;38.47;91.71;20.60;13.80;29.17;0.40;
129.35;0.00;0.85;55.93;88.51;15.73;12.60;27.40;0.00;
166.72;0.00;0.87;44.99;84.91;20.11;10.90;40.48;0.10;
192.98;0.00;0.89;78.88;96.90;15.19;13.20;18.38;0.00;
202.11;0.00;0.86;73.60;94.32;17.54;11.00;24.50;0.00;
248.41;0.00;0.88;67.14;96.97;13.05;9.90;30.08;0.00;
258.54;0.00;0.86;75.10;92.31;11.00;13.40;23.10;0.00;
Changing parameter: mean delay and deviation (uniform distribution);;;;;;
Mean delay   ;Max. delay  ;Avg.   ;Avg. ;Avg. time   ;Avg.;Avg. count;Avg. Percentage of ;Avg. count
or min. delay;or deviation;reliab.;delay;for one task;load %;of tasks  ;finished tasks     ;of returnings
43.79;19.97;0.88;2.45;163.84;46.64;20.50;65.23;1.00;
55.57;35.36;0.86;10.11;70.23;36.42;15.60;51.60;0.30;
98.62;45.18;0.88;17.29;76.52;26.07;12.40;51.34;0.30;
119.95;56.36;0.87;23.93;56.27;23.01;11.40;42.42;0.00;
149.11;63.10;0.87;32.32;77.72;21.49;13.80;34.22;0.10;
166.29;86.90;0.86;40.82;98.16;16.28;11.50;37.20;0.30;
196.15;94.18;0.87;47.46;74.12;15.65;10.80;35.70;0.10;
204.13;107.96;0.88;54.02;109.74;19.80;10.50;35.32;0.20;
227.00;120.23;0.86;63.22;74.79;10.80;10.60;36.08;0.10;
253.84;129.53;0.89;71.48;72.84;11.63;12.20;28.89;0.00;
Changing parameter: mean delay and deviation (normal distribution) ;;;;;;
Mean delay   ;Max. delay  ;Avg.   ;Avg. ;Avg. time   ;Avg.;Avg. count;Avg. Percentage of ;Avg. count
or min. delay;or deviation;reliab.;delay;for one task;load %;of tasks  ;finished tasks     ;of returnings
28.04;15.77;0.85;4.83;146.78;42.63;17.20;61.41;0.80;
64.02;35.01;0.87;12.01;92.15;39.77;13.30;45.28;0.10;
86.14;41.37;0.88;21.82;101.57;26.56;12.70;34.67;0.30;
115.79;60.32;0.87;32.81;76.19;21.27;10.30;46.14;0.60;
133.40;68.48;0.88;40.98;82.93;21.44;10.80;40.27;0.20;
169.57;77.25;0.89;55.04;85.30;13.97;11.70;26.72;0.20;
193.22;96.78;0.87;61.82;99.12;10.47;12.40;24.31;0.20;
222.41;101.71;0.87;71.28;103.31;13.53;11.00;29.98;0.20;
236.06;122.83;0.88;107.67;47.03;3.15;8.90;19.60;0.00;
256.99;128.46;0.87;92.03;106.22;9.83;9.50;25.28;0.00;
Changing parameter: equal delay                                    ;;;;;;
Mean delay   ;Max. delay  ;Avg.   ;Avg. ;Avg. time   ;Avg.;Avg. count;Avg. Percentage of ;Avg. count
or min. delay;or deviation;reliab.;delay;for one task;load %;of tasks  ;finished tasks     ;of returnings
42.40;14.02;0.87;2.85;116.50;45.33;16.80;54.40;0.70;
64.68;37.38;0.86;14.57;61.88;31.89;14.10;45.11;0.20;
87.34;46.33;0.89;21.86;102.91;27.29;12.30;37.21;0.00;
115.84;59.51;0.87;32.03;70.45;17.60;9.40;44.56;0.10;
138.19;74.60;0.85;41.00;64.62;14.97;11.70;28.90;0.00;
165.53;80.94;0.87;51.21;70.71;15.45;11.60;39.22;0.10;
178.55;98.67;0.88;64.78;111.49;19.91;9.90;34.42;0.40;
212.39;100.14;0.88;72.84;98.85;13.67;10.90;26.35;0.00;
239.90;115.25;0.86;82.55;84.53;6.35;9.30;23.35;0.00;
250.95;135.48;0.86;92.15;95.68;9.37;11.80;21.91;0.20;
Changing parameter: task complexity;;;;;;
Mean delay   ;Max. delay  ;Avg.   ;Avg. ;Avg. time   ;Avg.;Avg. count;Avg. Percentage of ;Avg. count
or min. delay;or deviation;reliab.;delay;for one task;load %;of tasks  ;finished tasks     ;of returnings
132.30;0.00;0.86;2.97;120.03;30.63;7.20;87.50;0.70;
132.30;0.00;0.88;3.62;84.84;25.19;9.00;85.00;0.90;
132.30;0.00;0.88;2.77;66.66;39.08;7.00;90.00;1.10;
132.30;0.00;0.85;3.07;62.59;38.49;8.80;84.38;0.70;
132.30;0.00;0.87;3.56;80.87;39.00;11.00;81.50;1.00;
132.30;0.00;0.87;2.90;95.91;50.14;12.10;61.36;0.50;
132.30;0.00;0.89;3.56;59.26;38.84;13.00;55.38;0.10;
132.30;0.00;0.86;2.98;44.85;33.10;14.00;55.71;0.10;
132.30;0.00;0.87;3.83;68.60;40.36;16.00;41.88;0.00;
132.30;0.00;0.90;3.68;53.29;35.67;17.00;42.94;0.00;
132.30;0.00;0.89;3.47;54.99;39.40;19.00;43.68;0.00;
