Changing parameter: mean delay (exponential distribution);;;;;;
Mean delay   ;Max. delay  ;Size of;Avg. ;Avg. task ;Avg. time   ;Avg.  ;Count of
or min. delay;or deviation;storage;delay;complexity;for one task;load %;failures
31.22;0.00;11;40.42;9.67;8.11;23.29;51
52.40;0.00;11;44.50;10.35;13.47;32.48;79
93.55;0.00;11;63.17;9.48;7.54;19.74;39
112.19;0.00;11;121.63;10.83;5.41;13.04;19
129.35;0.00;11;179.20;11.27;6.30;14.25;19
166.72;0.00;11;430.13;9.15;2.60;3.58;0
192.98;0.00;11;306.36;10.86;3.69;8.14;5
202.11;0.00;11;237.64;10.48;6.14;13.39;19
248.41;0.00;11;208.41;9.81;4.99;10.98;14
258.54;0.00;11;152.95;11.45;3.49;8.28;6
Changing parameter: mean delay and deviation (uniform distribution);;;;;;
Mean delay   ;Max. delay  ;Size of;Avg. ;Avg. task ;Avg. time   ;Avg.  ;Count of
or min. delay;or deviation;storage;delay;complexity;for one task;load %;failures
43.79;19.97;11;31.25;10.41;7.82;22.71;44
55.57;35.36;11;45.74;10.36;8.35;22.28;44
98.62;45.18;11;72.85;10.43;9.87;21.73;47
119.95;56.36;11;93.68;10.62;8.39;18.41;39
149.11;63.10;11;102.24;10.18;3.79;8.93;5
166.29;86.90;11;126.06;9.96;4.52;10.99;10
196.15;94.18;11;139.50;10.55;5.40;12.48;17
204.13;107.96;11;160.42;9.57;3.77;8.32;12
227.00;120.23;11;152.28;10.18;5.62;12.86;14
253.84;129.53;11;194.81;10.95;4.67;10.31;12
Changing parameter: mean delay and deviation (normal distribution) ;;;;;;
Mean delay   ;Max. delay  ;Size of;Avg. ;Avg. task ;Avg. time   ;Avg.  ;Count of
or min. delay;or deviation;storage;delay;complexity;for one task;load %;failures
28.04;15.77;11;30.01;11.22;12.09;34.35;71
64.02;35.01;11;56.31;11.14;12.03;27.67;67
86.14;41.37;11;89.07;11.33;6.09;15.30;26
115.79;60.32;11;121.85;9.74;5.57;13.41;17
133.40;68.48;11;166.16;9.91;3.67;8.57;6
169.57;77.25;11;136.63;9.68;6.08;14.17;25
193.22;96.78;11;241.91;9.62;2.92;6.43;2
222.41;101.71;11;219.21;9.20;2.79;5.98;0
236.06;122.83;11;317.23;8.29;3.21;4.89;0
256.99;128.46;11;223.01;7.81;3.22;5.45;0
Changing parameter: equal delay                                    ;;;;;;
Mean delay   ;Max. delay  ;Size of;Avg. ;Avg. task ;Avg. time   ;Avg.  ;Count of
or min. delay;or deviation;storage;delay;complexity;for one task;load %;failures
42.40;14.02;11;42.40;10.79;8.75;22.49;47
64.68;37.38;11;64.68;11.73;8.09;18.80;36
87.34;46.33;11;87.34;9.45;8.22;18.99;45
115.84;59.51;11;115.84;9.00;5.03;11.76;15
138.19;74.60;11;138.19;11.00;4.01;9.11;6
165.53;80.94;11;165.53;9.64;4.82;11.10;14
178.55;98.67;11;178.55;10.41;4.79;11.03;9
212.39;100.14;11;212.39;10.43;5.00;10.99;16
239.90;115.25;11;239.90;10.52;3.93;8.65;7
250.95;135.48;11;250.95;11.57;3.05;6.80;0
Changing parameter: task complexity;;;;;;
Mean delay   ;Max. delay  ;Size of;Avg. ;Avg. task ;Avg. time   ;Avg.  ;Count of
or min. delay;or deviation;storage;delay;complexity;for one task;load %;failures
132.30;0.00;11;84.35;4.00;3.31;7.25;0
132.30;0.00;11;90.26;5.00;3.78;8.61;3
132.30;0.00;11;153.48;7.00;5.61;12.38;20
132.30;0.00;11;133.53;8.00;5.39;11.92;15
132.30;0.00;11;244.70;10.00;4.43;9.60;13
132.30;0.00;11;112.14;11.00;7.93;17.55;32
132.30;0.00;11;175.53;13.00;3.67;8.30;3
132.30;0.00;11;184.30;14.00;6.60;14.57;29
132.30;0.00;11;265.60;16.00;4.10;9.00;8
132.30;0.00;11;658.92;17.00;3.67;7.92;3
132.30;0.00;11;80.16;19.00;8.98;19.95;42
