Preparing X for polydeg: 1... Time: 0:0:3
Batch size;Score;Time
128;13.17181;0:0:0
256;12.73871;0:0:0
512;12.63868;0:0:0
1024;12.61846;0:0:1
2048;12.61328;0:0:2
4096;12.62102;0:0:4
8192;12.63310;0:0:9
16384;12.61533;0:0:18
Train steps;Score;Time
100;13.90356;0:0:0
500;12.78979;0:0:1
1000;12.61276;0:0:2
5000;12.37155;0:0:10
10000;12.25363;0:0:21
Learning rate;Score;Time
0.00010;12.62444;0:0:21
0.00020;12.50482;0:0:21
0.00030;12.42324;0:0:21
0.00040;12.39622;0:0:21
0.00050;12.35977;0:0:21
0.00060;12.29953;0:0:21
0.00070;12.27881;0:0:21
0.00080;12.29885;0:0:21
0.00090;12.26447;0:0:21
0.00100;12.28991;0:0:21
0.00110;12.26433;0:0:21
0.00120;12.24687;0:0:21
0.00130;12.26407;0:0:21
Preparing X for polydeg: 1... Time: 0:0:3
Score;Polydeg;Alpha 1;Alpha 2;Time
12.22256;1;0.00000;0.00000;0:0:21
12.23305;1;0.00000;0.00001;0:0:21
12.22039;1;0.00000;0.00010;0:0:21
12.24674;1;0.00000;0.00100;0:0:21
12.37946;1;0.00000;0.01000;0:0:21
13.26193;1;0.00000;0.10000;0:0:21
12.23341;1;0.00001;0.00000;0:0:21
12.24540;1;0.00001;0.00001;0:0:21
12.24849;1;0.00001;0.00010;0:0:21
12.22883;1;0.00001;0.00100;0:0:21
12.35194;1;0.00001;0.01000;0:0:21
13.17476;1;0.00001;0.10000;0:0:21
12.23497;1;0.00010;0.00000;0:0:21
12.24858;1;0.00010;0.00001;0:0:21
12.26848;1;0.00010;0.00010;0:0:21
12.23578;1;0.00010;0.00100;0:0:21
12.36808;1;0.00010;0.01000;0:0:21
13.25705;1;0.00010;0.10000;0:0:21
12.22984;1;0.00100;0.00000;0:0:21
12.25071;1;0.00100;0.00001;0:0:21
12.24621;1;0.00100;0.00010;0:0:21
12.23701;1;0.00100;0.00100;0:0:21
12.41914;1;0.00100;0.01000;0:0:21
13.35384;1;0.00100;0.10000;0:0:21
