Preparing X for polydeg: 1... Time: 0:0:48
Batch size;accuracy;Time
8;86.07000;0:0:5
16;86.71000;0:0:5
32;86.78000;0:0:5
64;87.33000;0:0:5
128;87.48000;0:0:5
256;87.52000;0:0:6
512;87.35000;0:0:8
1024;87.40000;0:0:11
Train steps;accuracy;Time
100;83.86000;0:0:5
500;86.08000;0:0:5
1000;87.26000;0:0:6
5000;89.84000;0:0:12
10000;90.55000;0:0:20
Learning rate;accuracy;Time
0.00010;87.45000;0:0:20
0.00020;88.64000;0:0:20
0.00030;89.23000;0:0:20
0.00040;89.63000;0:0:20
0.00050;89.85000;0:0:20
0.00060;90.08000;0:0:20
0.00070;90.24000;0:0:20
0.00080;90.30000;0:0:20
0.00090;90.45000;0:0:20
0.00100;90.55000;0:0:20
0.00110;90.58000;0:0:20
0.00120;90.72000;0:0:20
0.00130;90.72000;0:0:20
Preparing X for polydeg: 1... Time: 0:0:48
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.70000;1;0.00000;0.00000;0:0:20
90.54000;1;0.00000;0.00001;0:0:20
90.74000;1;0.00000;0.00010;0:0:20
90.51000;1;0.00000;0.00100;0:0:20
89.15000;1;0.00000;0.01000;0:0:20
86.10000;1;0.00000;0.10000;0:0:20
90.73000;1;0.00001;0.00000;0:0:20
90.67000;1;0.00001;0.00001;0:0:20
90.73000;1;0.00001;0.00010;0:0:20
90.50000;1;0.00001;0.00100;0:0:20
89.08000;1;0.00001;0.01000;0:0:20
86.37000;1;0.00001;0.10000;0:0:20
90.75000;1;0.00010;0.00000;0:0:20
90.64000;1;0.00010;0.00001;0:0:20
90.77000;1;0.00010;0.00010;0:0:20
90.46000;1;0.00010;0.00100;0:0:20
89.05000;1;0.00010;0.01000;0:0:20
86.18000;1;0.00010;0.10000;0:0:20
90.29000;1;0.00100;0.00000;0:0:20
90.21000;1;0.00100;0.00001;0:0:20
90.23000;1;0.00100;0.00010;0:0:20
90.05000;1;0.00100;0.00100;0:0:20
88.87000;1;0.00100;0.01000;0:0:20
85.93000;1;0.00100;0.10000;0:0:20
87.26000;1;0.01000;0.00000;0:0:20
87.27000;1;0.01000;0.00001;0:0:20
87.34000;1;0.01000;0.00010;0:0:20
87.31000;1;0.01000;0.00100;0:0:20
86.52000;1;0.01000;0.01000;0:0:20
83.90000;1;0.01000;0.10000;0:0:20
42.27000;1;0.10000;0.00000;0:0:20
45.71000;1;0.10000;0.00001;0:0:20
44.31000;1;0.10000;0.00010;0:0:20
40.59000;1;0.10000;0.00100;0:0:20
43.37000;1;0.10000;0.01000;0:0:20
46.65000;1;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 2... Time: 0:0:48
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.66000;2;0.00000;0.00000;0:0:20
90.62000;2;0.00000;0.00001;0:0:20
90.68000;2;0.00000;0.00010;0:0:20
90.35000;2;0.00000;0.00100;0:0:20
88.95000;2;0.00000;0.01000;0:0:20
86.21000;2;0.00000;0.10000;0:0:20
90.71000;2;0.00001;0.00000;0:0:20
90.66000;2;0.00001;0.00001;0:0:20
90.66000;2;0.00001;0.00010;0:0:20
90.53000;2;0.00001;0.00100;0:0:20
88.93000;2;0.00001;0.01000;0:0:20
86.23000;2;0.00001;0.10000;0:0:20
90.74000;2;0.00010;0.00000;0:0:20
90.74000;2;0.00010;0.00001;0:0:20
90.68000;2;0.00010;0.00010;0:0:20
90.56000;2;0.00010;0.00100;0:0:20
88.97000;2;0.00010;0.01000;0:0:20
86.04000;2;0.00010;0.10000;0:0:20
90.28000;2;0.00100;0.00000;0:0:20
90.33000;2;0.00100;0.00001;0:0:20
90.31000;2;0.00100;0.00010;0:0:20
90.22000;2;0.00100;0.00100;0:0:20
88.77000;2;0.00100;0.01000;0:0:20
86.08000;2;0.00100;0.10000;0:0:20
87.35000;2;0.01000;0.00000;0:0:20
87.28000;2;0.01000;0.00001;0:0:20
87.28000;2;0.01000;0.00010;0:0:20
87.14000;2;0.01000;0.00100;0:0:20
86.20000;2;0.01000;0.01000;0:0:20
84.07000;2;0.01000;0.10000;0:0:20
41.51000;2;0.10000;0.00000;0:0:20
41.15000;2;0.10000;0.00001;0:0:20
42.64000;2;0.10000;0.00010;0:0:20
42.02000;2;0.10000;0.00100;0:0:20
43.72000;2;0.10000;0.01000;0:0:20
49.20000;2;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 3... Time: 0:0:49
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.67000;3;0.00000;0.00000;0:0:20
90.77000;3;0.00000;0.00001;0:0:20
90.70000;3;0.00000;0.00010;0:0:20
90.44000;3;0.00000;0.00100;0:0:20
89.08000;3;0.00000;0.01000;0:0:20
86.07000;3;0.00000;0.10000;0:0:20
90.68000;3;0.00001;0.00000;0:0:20
90.64000;3;0.00001;0.00001;0:0:20
90.64000;3;0.00001;0.00010;0:0:20
90.39000;3;0.00001;0.00100;0:0:20
89.06000;3;0.00001;0.01000;0:0:20
86.26000;3;0.00001;0.10000;0:0:20
90.71000;3;0.00010;0.00000;0:0:20
90.64000;3;0.00010;0.00001;0:0:20
90.68000;3;0.00010;0.00010;0:0:20
90.49000;3;0.00010;0.00100;0:0:20
89.15000;3;0.00010;0.01000;0:0:20
86.39000;3;0.00010;0.10000;0:0:20
90.30000;3;0.00100;0.00000;0:0:20
90.26000;3;0.00100;0.00001;0:0:20
90.26000;3;0.00100;0.00010;0:0:20
90.07000;3;0.00100;0.00100;0:0:20
88.83000;3;0.00100;0.01000;0:0:20
85.99000;3;0.00100;0.10000;0:0:20
87.39000;3;0.01000;0.00000;0:0:20
87.30000;3;0.01000;0.00001;0:0:20
87.32000;3;0.01000;0.00010;0:0:20
87.26000;3;0.01000;0.00100;0:0:20
86.25000;3;0.01000;0.01000;0:0:20
83.88000;3;0.01000;0.10000;0:0:20
40.88000;3;0.10000;0.00000;0:0:20
41.24000;3;0.10000;0.00001;0:0:20
42.98000;3;0.10000;0.00010;0:0:20
43.34000;3;0.10000;0.00100;0:0:20
42.43000;3;0.10000;0.01000;0:0:20
48.91000;3;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 4... Time: 0:0:49
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.69000;4;0.00000;0.00000;0:0:20
90.67000;4;0.00000;0.00001;0:0:20
90.68000;4;0.00000;0.00010;0:0:20
90.40000;4;0.00000;0.00100;0:0:20
89.07000;4;0.00000;0.01000;0:0:20
86.29000;4;0.00000;0.10000;0:0:20
90.69000;4;0.00001;0.00000;0:0:20
90.74000;4;0.00001;0.00001;0:0:20
90.66000;4;0.00001;0.00010;0:0:20
90.45000;4;0.00001;0.00100;0:0:20
89.01000;4;0.00001;0.01000;0:0:20
86.06000;4;0.00001;0.10000;0:0:20
90.62000;4;0.00010;0.00000;0:0:20
90.62000;4;0.00010;0.00001;0:0:20
90.65000;4;0.00010;0.00010;0:0:20
90.53000;4;0.00010;0.00100;0:0:20
89.11000;4;0.00010;0.01000;0:0:20
85.87000;4;0.00010;0.10000;0:0:20
90.28000;4;0.00100;0.00000;0:0:20
90.38000;4;0.00100;0.00001;0:0:20
90.29000;4;0.00100;0.00010;0:0:20
90.01000;4;0.00100;0.00100;0:0:20
88.69000;4;0.00100;0.01000;0:0:20
85.99000;4;0.00100;0.10000;0:0:20
87.23000;4;0.01000;0.00000;0:0:20
87.23000;4;0.01000;0.00001;0:0:20
87.41000;4;0.01000;0.00010;0:0:20
87.17000;4;0.01000;0.00100;0:0:20
86.18000;4;0.01000;0.01000;0:0:20
84.12000;4;0.01000;0.10000;0:0:20
38.21000;4;0.10000;0.00000;0:0:20
42.06000;4;0.10000;0.00001;0:0:20
42.07000;4;0.10000;0.00010;0:0:20
41.39000;4;0.10000;0.00100;0:0:20
43.17000;4;0.10000;0.01000;0:0:20
47.18000;4;0.10000;0.10000;0:0:20
-------------------------------------------------------------------------------------------
Preparing X for polydeg: 5... Time: 0:0:49
accuracy;Polydeg;Alpha 1;Alpha 2;Time
90.82000;5;0.00000;0.00000;0:0:20
90.77000;5;0.00000;0.00001;0:0:20
90.68000;5;0.00000;0.00010;0:0:20
90.43000;5;0.00000;0.00100;0:0:20
88.99000;5;0.00000;0.01000;0:0:20
86.26000;5;0.00000;0.10000;0:0:20
90.68000;5;0.00001;0.00000;0:0:20
90.72000;5;0.00001;0.00001;0:0:20
90.60000;5;0.00001;0.00010;0:0:20
90.54000;5;0.00001;0.00100;0:0:20
89.05000;5;0.00001;0.01000;0:0:20
85.98000;5;0.00001;0.10000;0:0:20
90.58000;5;0.00010;0.00000;0:0:20
90.68000;5;0.00010;0.00001;0:0:20
90.61000;5;0.00010;0.00010;0:0:20
90.56000;5;0.00010;0.00100;0:0:20
89.08000;5;0.00010;0.01000;0:0:20
86.16000;5;0.00010;0.10000;0:0:20
