Вулиця;Кількість недобудов на вулиці;№ буд.;Рік;Кількість недобудов за рік;Матеріали;Рейтинг матеріалів;Кількість поверхів;Висота стелі;Стан
вул. Ракетна;1;10;1999;0;цегла;2.00;24;2.62;Зданий
вул. Ракетна;1;11;1965;0;монолітно-каркасний,к/б панель;3.00;17;2.42;Зданий
вул. Ракетна;1;12;1984;0;з/б панель;1.70;2;3.19;Зданий
вул. Ракетна;1;13;1970;0;вентильований фасад,цегла сілікатна,к/б панель;4.10;22;2.75;Зданий
вул. Ракетна;1;15;1978;0;газоблок,цегла;3.40;12;3.09;Зданий
вул. Ракетна;1;16;1970;0;цегла,цегла сілікатна;3.50;9;2.77;Зданий
вул. Ракетна;1;17;1971;0;монолітно-каркасний;1.30;12;3.15;Зданий
вул. Ракетна;1;18;1975;0;утеплювач,шлакоблок,к/б панель;3.40;12;3.12;Зданий
вул. Ракетна;1;19;1974;0;утеплювач,з/б панель;2.40;12;2.72;Зданий
вул. Ракетна;1;2;2009;1;з/б панель,к/б панель;3.40;13;2.92;Зданий
вул. Ракетна;1;20;1984;0;цегла,утеплювач;2.70;4;2.83;Зданий
вул. Ракетна;1;21;1969;0;цегла сілікатна;1.50;1;2.99;Зданий
вул. Ракетна;1;22;1976;0;вентильований фасад,керамблок,шлакоблок;3.10;17;2.83;Зданий
вул. Ракетна;1;23;2011;0;монолітно-каркасний;1.30;17;2.61;Зданий
вул. Ракетна;1;24;2014;5;монолітно-каркасний,газоблок,утеплювач;3.40;25;2.7;Невдала будівля
вул. Ракетна;1;24А;1992;0;к/б панель;1.70;4;2.77;Зданий
вул. Ракетна;1;24Б;1976;0;цегла сілікатна;1.50;17;3.03;Зданий
вул. Ракетна;1;25;1966;0;газоблок;1.40;17;2.63;Зданий
вул. Ракетна;1;26;1993;0;керамблок;1.20;16;3.08;Зданий
вул. Ракетна;1;27;1989;0;вентильований фасад,монолітно-каркасний,к/б панель;3.90;10;2.63;Зданий
вул. Ракетна;1;3;2003;1;вентильований фасад,цегла сілікатна,газоблок;3.80;17;2.69;Зданий
вул. Ракетна;1;4;1990;0;вентильований фасад,цегла,шлакоблок;3.90;19;2.76;Зданий
вул. Ракетна;1;5;2001;0;шлакоблок,вентильований фасад;1.90;13;2.74;Зданий
вул. Ракетна;1;6;1996;0;к/б панель;1.70;24;2.92;Зданий
вул. Ракетна;1;7;2018;2;з/б панель;1.70;8;2.8;Зданий
вул. Ракетна;1;8;1992;0;утеплювач,газоблок,вентильований фасад;3.00;5;2.44;Зданий
вул. Ракетна;1;9;1971;0;к/б панель;1.70;9;3.15;Зданий
вул. Драйзера Теодора;1;1;1992;0;утеплювач,шлакоблок;1.70;7;2.51;Зданий
вул. Драйзера Теодора;1;10;2011;0;монолітно-каркасний,шлакоблок;2.30;20;2.67;Зданий
вул. Драйзера Теодора;1;11;2005;2;цегла сілікатна,вентильований фасад;2.40;10;2.77;Зданий
вул. Драйзера Теодора;1;11А;1963;0;газоблок;1.40;1;2.94;Зданий
вул. Драйзера Теодора;1;11Б;1996;0;утеплювач,з/б панель,цегла;4.40;2;3.08;Зданий
вул. Драйзера Теодора;1;14;1983;1;керамблок,к/б панель;2.90;8;2.51;Зданий
вул. Драйзера Теодора;1;16;2019;0;керамблок,цегла сілікатна;2.70;3;2.46;Зданий
вул. Драйзера Теодора;1;17;1999;0;вентильований фасад,к/б панель,цегла;4.60;10;2.71;Зданий
вул. Драйзера Теодора;1;18;1990;0;шлакоблок;1.00;18;2.69;Зданий
вул. Драйзера Теодора;1;19;1982;0;керамблок;1.20;11;3;Зданий
вул. Драйзера Теодора;1;1А;2007;1;утеплювач,з/б панель,керамблок;3.60;18;2.51;Зданий
вул. Драйзера Теодора;1;1Б;1960;0;вентильований фасад,керамблок,газоблок;3.50;14;2.74;Зданий
вул. Драйзера Теодора;1;1В;2001;0;цегла,керамблок;3.20;22;2.63;Зданий
вул. Драйзера Теодора;1;2;1973;0;газоблок;1.40;15;3;Зданий
вул. Драйзера Теодора;1;20;1981;0;монолітно-каркасний;1.30;24;2.49;Зданий
вул. Драйзера Теодора;1;20А;1963;0;керамблок;1.20;5;2.94;Зданий
вул. Драйзера Теодора;1;21;1962;0;шлакоблок,цегла;3.00;7;2.99;Зданий
вул. Драйзера Теодора;1;21А;1968;0;з/б панель,монолітно-каркасний;3.00;23;2.53;Зданий
вул. Драйзера Теодора;1;22;1969;0;цегла сілікатна,газоблок;2.90;16;3.13;Зданий
вул. Драйзера Теодора;1;23;2002;0;к/б панель;1.70;3;2.66;Зданий
вул. Драйзера Теодора;1;24;2003;1;шлакоблок,утеплювач;1.70;10;2.85;Зданий
вул. Драйзера Теодора;1;24А;1979;0;утеплювач,з/б панель,к/б панель;4.10;6;2.63;Зданий
вул. Драйзера Теодора;1;25;2020;0;цегла;2.00;10;3;Зданий
вул. Драйзера Теодора;1;26;2019;0;цегла сілікатна;1.50;10;2.66;Зданий
вул. Драйзера Теодора;1;26А;1960;0;утеплювач,цегла сілікатна,цегла;4.20;1;2.62;Зданий
вул. Драйзера Теодора;1;28;2003;1;утеплювач,к/б панель;2.40;8;3.04;Зданий
вул. Драйзера Теодора;1;2А;1990;0;монолітно-каркасний,вентильований фасад;2.20;15;2.61;Зданий
вул. Драйзера Теодора;1;2В;1979;0;керамблок;1.20;14;2.87;Зданий
вул. Драйзера Теодора;1;2Г;1982;0;цегла сілікатна;1.50;6;2.92;Зданий
вул. Драйзера Теодора;1;3;1970;0;з/б панель;1.70;11;2.49;Зданий
вул. Драйзера Теодора;1;30;1985;0;вентильований фасад,газоблок;2.30;8;2.64;Зданий
вул. Драйзера Теодора;1;30А;1981;0;монолітно-каркасний;1.30;21;2.86;Зданий
вул. Драйзера Теодора;1;30Б;2014;5;цегла сілікатна,утеплювач;2.20;21;2.49;Зданий
вул. Драйзера Теодора;1;32;2021;4;утеплювач,керамблок;1.90;10;2.76;Зданий
вул. Драйзера Теодора;1;33;1963;0;шлакоблок;1.00;15;2.57;Зданий
вул. Драйзера Теодора;1;34;1976;0;керамблок;1.20;24;3.07;Зданий
вул. Драйзера Теодора;1;36;1963;0;к/б панель;1.70;14;2.8;Зданий
вул. Драйзера Теодора;1;38;2001;0;з/б панель,цегла;3.70;13;2.55;Зданий
вул. Драйзера Теодора;1;3А;2015;2;газоблок;1.40;22;2.74;Зданий
вул. Драйзера Теодора;1;4;2000;0;з/б панель;1.70;14;3.11;Зданий
вул. Драйзера Теодора;1;40;2017;5;монолітно-каркасний,газоблок,утеплювач;3.40;25;2.75;Невдала будівля
вул. Драйзера Теодора;1;40Б;1999;0;монолітно-каркасний;1.30;12;2.4;Зданий
вул. Драйзера Теодора;1;42;2008;1;з/б панель;1.70;6;2.79;Зданий
вул. Драйзера Теодора;1;44;2005;2;шлакоблок,вентильований фасад;1.90;17;3.14;Зданий
вул. Драйзера Теодора;1;44А;1961;0;к/б панель;1.70;13;3.08;Зданий
вул. Драйзера Теодора;1;46;1970;0;утеплювач,газоблок,з/б панель;3.80;12;3.03;Зданий
вул. Драйзера Теодора;1;4А;1988;0;к/б панель,керамблок;2.90;13;2.43;Зданий
вул. Драйзера Теодора;1;5;2004;0;монолітно-каркасний,керамблок;2.50;23;2.95;Зданий
вул. Драйзера Теодора;1;51;2021;4;монолітно-каркасний;1.30;8;2.95;Зданий
вул. Драйзера Теодора;1;51А;1994;0;з/б панель;1.70;7;2.79;Зданий
вул. Драйзера Теодора;1;6;1971;0;утеплювач,к/б панель,з/б панель;4.10;6;3.06;Зданий
вул. Драйзера Теодора;1;6А;2019;0;монолітно-каркасний;1.30;12;2.69;Зданий
вул. Драйзера Теодора;1;7;1965;0;к/б панель,утеплювач;2.40;12;2.84;Зданий
вул. Драйзера Теодора;1;7А;1976;0;газоблок,шлакоблок;2.40;20;3.19;Зданий
вул. Драйзера Теодора;1;7Б;1980;0;керамблок,цегла;3.20;8;2.47;Зданий
вул. Драйзера Теодора;1;8;1975;0;монолітно-каркасний,к/б панель;3.00;15;2.46;Зданий
вул. Драйзера Теодора;1;8А;2019;0;к/б панель,з/б панель;3.40;16;2.73;Зданий
вул. Драйзера Теодора;1;9;1982;0;шлакоблок;1.00;23;3.18;Зданий
вул. Драйзера Теодора;1;9А;1970;0;цегла;2.00;24;2.9;Зданий
вул. Драйзера Теодора;1;9Б;1981;0;вентильований фасад,утеплювач;1.60;3;2.96;Зданий
вул. Драйзера Теодора;1;9В;2015;2;газоблок;1.40;5;3.04;Зданий
