1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
Training accuracy.: 0.93832; testing accuracy.: 0.98000;
Training loss: 1.52520; testing loss: 1.49135; time: 0:0:51
-------------------------------------------------------------------------------------------
2/36. Count of epochs: 10; batch size: 50; learning rate: 0.01250...
Training accuracy.: 0.93897; testing accuracy.: 0.90000;
Training loss: 1.52571; testing loss: 1.55832; time: 0:0:50
-------------------------------------------------------------------------------------------
3/36. Count of epochs: 10; batch size: 50; learning rate: 0.00833...
Training accuracy.: 0.93895; testing accuracy.: 0.90000;
Training loss: 1.52674; testing loss: 1.55287; time: 0:0:50
-------------------------------------------------------------------------------------------
4/36. Count of epochs: 10; batch size: 50; learning rate: 0.00625...
Training accuracy.: 0.93867; testing accuracy.: 0.92000;
Training loss: 1.52815; testing loss: 1.54682; time: 0:0:50
-------------------------------------------------------------------------------------------
5/36. Count of epochs: 10; batch size: 50; learning rate: 0.00500...
Training accuracy.: 0.93807; testing accuracy.: 0.92000;
Training loss: 1.52950; testing loss: 1.55747; time: 0:0:50
-------------------------------------------------------------------------------------------
6/36. Count of epochs: 10; batch size: 50; learning rate: 0.00200...
Training accuracy.: 0.93337; testing accuracy.: 0.96000;
Training loss: 1.53644; testing loss: 1.52475; time: 0:0:50
-------------------------------------------------------------------------------------------
7/36. Count of epochs: 10; batch size: 200; learning rate: 0.02000...
Training accuracy.: 0.93785; testing accuracy.: 0.93000;
Training loss: 1.52565; testing loss: 1.52958; time: 0:0:14
-------------------------------------------------------------------------------------------
8/36. Count of epochs: 10; batch size: 200; learning rate: 0.01250...
Training accuracy.: 0.93885; testing accuracy.: 0.89000;
Training loss: 1.52598; testing loss: 1.57670; time: 0:0:14
-------------------------------------------------------------------------------------------
9/36. Count of epochs: 10; batch size: 200; learning rate: 0.00833...
Training accuracy.: 0.93933; testing accuracy.: 0.93500;
Training loss: 1.52673; testing loss: 1.52755; time: 0:0:14
-------------------------------------------------------------------------------------------
10/36. Count of epochs: 10; batch size: 200; learning rate: 0.00625...
Training accuracy.: 0.93858; testing accuracy.: 0.91500;
Training loss: 1.52823; testing loss: 1.54752; time: 0:0:14
-------------------------------------------------------------------------------------------
11/36. Count of epochs: 10; batch size: 200; learning rate: 0.00500...
Training accuracy.: 0.93778; testing accuracy.: 0.94500;
Training loss: 1.52955; testing loss: 1.52738; time: 0:0:14
-------------------------------------------------------------------------------------------
12/36. Count of epochs: 10; batch size: 200; learning rate: 0.00200...
Training accuracy.: 0.93365; testing accuracy.: 0.91000;
Training loss: 1.53654; testing loss: 1.56439; time: 0:0:14
-------------------------------------------------------------------------------------------
13/36. Count of epochs: 10; batch size: 800; learning rate: 0.02000...
Training accuracy.: 0.93633; testing accuracy.: 0.93250;
Training loss: 1.52677; testing loss: 1.52793; time: 0:0:5
-------------------------------------------------------------------------------------------
14/36. Count of epochs: 10; batch size: 800; learning rate: 0.01250...
Training accuracy.: 0.93903; testing accuracy.: 0.92250;
Training loss: 1.52598; testing loss: 1.54411; time: 0:0:5
-------------------------------------------------------------------------------------------
15/36. Count of epochs: 10; batch size: 800; learning rate: 0.00833...
Training accuracy.: 0.93885; testing accuracy.: 0.94500;
Training loss: 1.52708; testing loss: 1.52350; time: 0:0:5
-------------------------------------------------------------------------------------------
16/36. Count of epochs: 10; batch size: 800; learning rate: 0.00625...
Training accuracy.: 0.93837; testing accuracy.: 0.92750;
Training loss: 1.52842; testing loss: 1.53365; time: 0:0:5
-------------------------------------------------------------------------------------------
17/36. Count of epochs: 10; batch size: 800; learning rate: 0.00500...
Training accuracy.: 0.93793; testing accuracy.: 0.91250;
Training loss: 1.52955; testing loss: 1.55177; time: 0:0:5
-------------------------------------------------------------------------------------------
18/36. Count of epochs: 10; batch size: 800; learning rate: 0.00200...
Training accuracy.: 0.93318; testing accuracy.: 0.92000;
Training loss: 1.53650; testing loss: 1.55295; time: 0:0:5
-------------------------------------------------------------------------------------------
19/36. Count of epochs: 10; batch size: 1000; learning rate: 0.02000...
Training accuracy.: 0.93640; testing accuracy.: 0.93200;
Training loss: 1.52658; testing loss: 1.52877; time: 0:0:5
-------------------------------------------------------------------------------------------
20/36. Count of epochs: 10; batch size: 1000; learning rate: 0.01250...
Training accuracy.: 0.93780; testing accuracy.: 0.94100;
Training loss: 1.52654; testing loss: 1.52288; time: 0:0:4
-------------------------------------------------------------------------------------------
21/36. Count of epochs: 10; batch size: 1000; learning rate: 0.00833...
Training accuracy.: 0.93855; testing accuracy.: 0.94300;
Training loss: 1.52722; testing loss: 1.52293; time: 0:0:4
-------------------------------------------------------------------------------------------
22/36. Count of epochs: 10; batch size: 1000; learning rate: 0.00625...
Training accuracy.: 0.93850; testing accuracy.: 0.93000;
Training loss: 1.52817; testing loss: 1.53434; time: 0:0:4
-------------------------------------------------------------------------------------------
23/36. Count of epochs: 10; batch size: 1000; learning rate: 0.00500...
Training accuracy.: 0.93820; testing accuracy.: 0.92800;
Training loss: 1.52950; testing loss: 1.53723; time: 0:0:4
-------------------------------------------------------------------------------------------
24/36. Count of epochs: 10; batch size: 1000; learning rate: 0.00200...
Training accuracy.: 0.93350; testing accuracy.: 0.93100;
Training loss: 1.53654; testing loss: 1.53649; time: 0:0:4
-------------------------------------------------------------------------------------------
25/36. Count of epochs: 10; batch size: 3000; learning rate: 0.02000...
Training accuracy.: 0.93208; testing accuracy.: 0.91200;
Training loss: 1.53001; testing loss: 1.55074; time: 0:0:3
-------------------------------------------------------------------------------------------
26/36. Count of epochs: 10; batch size: 3000; learning rate: 0.01250...
Training accuracy.: 0.93530; testing accuracy.: 0.92100;
Training loss: 1.52851; testing loss: 1.53952; time: 0:0:2
-------------------------------------------------------------------------------------------
27/36. Count of epochs: 10; batch size: 3000; learning rate: 0.00833...
Training accuracy.: 0.93567; testing accuracy.: 0.91500;
Training loss: 1.52911; testing loss: 1.54890; time: 0:0:2
-------------------------------------------------------------------------------------------
28/36. Count of epochs: 10; batch size: 3000; learning rate: 0.00625...
Training accuracy.: 0.93638; testing accuracy.: 0.93600;
Training loss: 1.52946; testing loss: 1.52498; time: 0:0:2
-------------------------------------------------------------------------------------------
29/36. Count of epochs: 10; batch size: 3000; learning rate: 0.00500...
Training accuracy.: 0.93608; testing accuracy.: 0.93100;
Training loss: 1.53066; testing loss: 1.53216; time: 0:0:2
-------------------------------------------------------------------------------------------
30/36. Count of epochs: 10; batch size: 3000; learning rate: 0.00200...
Training accuracy.: 0.93265; testing accuracy.: 0.92300;
Training loss: 1.53678; testing loss: 1.54621; time: 0:0:2
-------------------------------------------------------------------------------------------
31/36. Count of epochs: 10; batch size: 10000; learning rate: 0.02000...
Training accuracy.: 0.90512; testing accuracy.: 0.90670;
Training loss: 1.55604; testing loss: 1.55459; time: 0:0:2
-------------------------------------------------------------------------------------------
32/36. Count of epochs: 10; batch size: 10000; learning rate: 0.01250...
Training accuracy.: 0.91397; testing accuracy.: 0.91270;
Training loss: 1.54744; testing loss: 1.54751; time: 0:0:2
-------------------------------------------------------------------------------------------
33/36. Count of epochs: 10; batch size: 10000; learning rate: 0.00833...
Training accuracy.: 0.92272; testing accuracy.: 0.91790;
Training loss: 1.53932; testing loss: 1.54427; time: 0:0:2
-------------------------------------------------------------------------------------------
34/36. Count of epochs: 10; batch size: 10000; learning rate: 0.00625...
Training accuracy.: 0.92452; testing accuracy.: 0.91910;
Training loss: 1.53793; testing loss: 1.54265; time: 0:0:2
-------------------------------------------------------------------------------------------
35/36. Count of epochs: 10; batch size: 10000; learning rate: 0.00500...
Training accuracy.: 0.92513; testing accuracy.: 0.92000;
Training loss: 1.53771; testing loss: 1.54196; time: 0:0:2
-------------------------------------------------------------------------------------------
36/36. Count of epochs: 10; batch size: 10000; learning rate: 0.00200...
Training accuracy.: 0.92873; testing accuracy.: 0.92310;
Training loss: 1.53840; testing loss: 1.54144; time: 0:0:2
-------------------------------------------------------------------------------------------
Max training accuracy: 0.93933; batch size: 200; learning rate: 0.00833
Max testing accuracy: 0.98000; batch size: 50; learning rate: 0.02000
Min training accuracy: 0.90512; batch size: 10000; learning rate: 0.02000
